ID,Bloque,Tema,Pregunta,URL_Original,Nombre_Sugerido
"B1_M_008","El Vehículo","Mecánica Básica","Este testigo rojo en el tablero (batería) indica:","https://www.actualidadmotor.com/wp-content/uploads/2016/09/Testigo-bateria-coche-rojo-830x553.jpg","B1_M_008.jpg"
"B1_S_022","Señalización Vial","Preventivas","¿Qué tipo de curva advierte esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-04-CURVAS-SUCESIVAS-PRIMERA-A-LA-IZQUIERDA.png","B1_S_022.png"
"B1_S_023","Señalización Vial","Reglamentarias","¿Qué indica esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SR-35-PROHIBIDA-LA-CIRCULACION-DE-VEHICULOS-DE-CARGA.png","B1_S_023.png"
"B1_S_025","Señalización Vial","Preventivas","¿Qué advierte esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-33-SUPERFICIE-RIZADA.png","B1_S_025.png"
"B1_M_011","El Vehículo","Mecánica Básica","Este testigo azul en el tablero (único de este color) indica:","https://www.autofacil.es/wp-content/uploads/2021/04/Testigo-luces-largas-1024x683.jpg","B1_M_011.jpg"
"B1_S_026","Señalización Vial","Preventivas","Esta señal amarilla con una flecha recta y otra que se anexa indica:","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-53-CONFLUENCIA-A-LA-DERECHA.png","B1_S_026.png"
"B1_S_027","Señalización Vial","Reglamentarias","¿Qué indica esta señal SR-41?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SR-41-CIRCULACION-OBLIGATORIA.png","B1_S_027.png"
"B1_S_028","Señalización Vial","Preventivas","¿Qué advierte esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-34-RESALTO.png","B1_S_028.png"
"B1_S_029","Señalización Vial","Reglamentarias","Esta señal azul circular (SR-42) indica:","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SR-42-CIRCULACION-OBLIGATORIA-DE-PEATONES.png","B1_S_029.png"
"B1_S_030","Señalización Vial","Preventivas","¿Qué le advierte esta señal amarilla?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-48-ANIMALES-EN-LA-VIA.png","B1_S_030.png"
"B1_S_031","Señalización Vial","Preventivas","¿Qué advierte esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-37-FINAL-DE-PAVIMENTO.png","B1_S_031.png"
"B1_S_033","Señalización Vial","Transitorias","¿Qué significa esta señal naranja?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/ST-02-BANDERERO.png","B1_S_033.png"
"B1_S_034","Señalización Vial","Preventivas","¿Qué significa esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-44-INICIO-DE-SEPARADOR-A-LA-IZQUIERDA.png","B1_S_034.png"
"B1_S_035","Señalización Vial","Marcas Viales","Las líneas amarillas en 'zigzag' pintadas en el pavimento indican:","https://carroya.com/noticias/sites/default/files/imagenes_noticias/800-lineas-amarillas-en-zigzag-.jpg","B1_S_035.jpg"
"B1_S_036","Señalización Vial","Informativas","Esta señal informativa verde ¿qué indica?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SI-01-POSTE-DE-DESTINO.png","B1_S_036.png"
"B1_S_037","Señalización Vial","Preventivas","¿Qué advierte esta señal?","https://vial.vialcontrol.co/wp-content/uploads/2022/01/SP-45-ZONA-DE-DERRUMBES.png","B1_S_037.png"
